Row Labels,Day,NSEI,TWII,Ind
2018-07,16,11019.5,10890.2002,1
2018-07,17,11018.5,10818.83984,1
2018-07,18,11076.2002,10872.74023,1
2018-07,19,11006.5,10896.25,1
2018-07,20,11030.25,10963.9502,1
2018-07,23,11093.40039,10984.83984,1
2018-07,24,11143.40039,10995.38965,1
2018-07,25,11157.15039,10992.29004,1
2018-07,26,11185.84961,11018.19043,1
2018-07,27,11283.40039,11075.78027,1
2018-07,30,11328.09961,11080.41016,1
2018-07,31,11366,11057.50977,1
2018-08,1,11390.54981,11100.01953,1
2018-08,2,11328.90039,11095.66992,1
2018-08,3,11368,11012.42969,1
2018-08,6,11427.65039,11054.49023,1
2018-08,7,11428.9502,11030.08984,1
2018-08,8,11459.9502,11095.5,1
2018-08,9,11495.2002,11063.62012,1
2018-08,10,11478.75,11033.88965,1
2018-08,13,11406.29981,10939.67969,1
2018-08,14,11452.4502,10829.84961,1
2018-08,16,11449.84961,10725.70996,1
2018-08,17,11486.4502,10757.00977,1
2018-08,20,11565.29981,10729.90039,1
2018-08,21,11581.75,10792.2002,1
2018-08,23,11620.7002,10863.12988,1
2018-08,24,11604.59961,10865.91016,1
2018-08,27,11700.9502,10916.69043,1
2018-08,28,11760.2002,11005.54981,1
2018-08,29,11753.2002,11099.57031,1
2018-08,30,11698.79981,11186.04981,1
2018-08,31,11727.65039,11063.94043,1
2018-09,3,11751.79981,11097.11035,1
2018-09,4,11602.54981,11028.26953,1
2018-09,5,11542.65039,11058.05957,1
2018-09,6,11562.25,11016.91992,1
2018-09,7,11603,10922.54981,1
2018-09,10,11573,10877.71973,1
2018-09,11,11479.40039,10765.41992,1
2018-09,12,11380.75,10779.92969,1
2018-09,14,11523.25,10882.04004,1
2018-09,17,11464.9502,10883.98047,1
2018-09,18,11411.4502,10806.55957,1
2018-09,19,11332.04981,10882.75,1
2018-09,21,11346.79981,10972.41016,1
2018-09,25,11080.59961,11003.49023,1
2018-09,26,11145.54981,11007.34961,1
2018-09,27,11089.4502,11051.08984,1
2018-09,28,11034.09961,11073.9502,1
2018-10,1,11035.65039,11062.42969,1
2018-10,3,10989.04981,10926.73047,1
2018-10,4,10754.7002,10826.19043,1
2018-10,5,10540.65039,10669.62988,1
2018-10,8,10398.34961,10507.83008,1
2018-10,9,10397.59961,10503.09961,1
2018-10,11,10335.9502,10272.04004,1
2018-10,12,10492.4502,10046.00977,1
2018-10,15,10526.29981,9989.629883,1
2018-10,16,10604.90039,10011.19043,1
2018-10,17,10710.15039,10127.00977,1
2018-10,19,10380.09961,9919.259766,1
2018-10,22,10408.54981,9984.150391,1
2018-10,23,10222.09961,9912.280273,1
2018-10,24,10290.65039,9809.19043,1
2018-10,25,10166.59961,9622.950195,1
2018-10,26,10128.84961,9629.070313,1
2018-10,29,10275.29981,9554.349609,1
2018-10,30,10285.09961,9574.830078,1
2018-10,31,10396,9802.129883,1
2018-11,1,10441.90039,9869.589844,1
2018-11,2,10606.9502,9906.589844,1
2018-11,5,10558.79981,9889.80957,1
2018-11,6,10600.25,9899.969727,1
2018-11,7,10616.4502,9912.530273,1
2018-11,9,10619.54981,9921.780273,1
2018-11,12,10645.5,9875.839844,1
2018-11,13,10596.25,9777.349609,1
2018-11,14,10651.59961,9823.25,1
2018-11,15,10646.5,9844.389648,1
2018-11,16,10695.15039,9851.290039,1
2018-11,19,10774.7002,9836.019531,1
2018-11,20,10740.84961,9800.030273,1
2018-11,21,10671.29981,9753.69043,1
2018-11,22,10646.25,9792.990234,1
2018-11,26,10637.79981,9847.349609,1
2018-11,27,10695.15039,9781.400391,1
2018-11,28,10757.79981,9890.889648,1
2018-11,29,10883.04981,10001.84961,1
2018-11,30,10922.4502,9957.629883,1
2018-12,3,10941.2002,10148.75,1
2018-12,4,10890.9502,10126.01953,1
2018-12,5,10821.04981,9971.980469,1
2018-12,6,10722.65039,9850.080078,1
2018-12,7,10704.54981,9785.200195,1
2018-12,10,10558.84961,9722.969727,1
2018-12,11,10567.15039,9720.959961,1
2018-12,12,10752.2002,9835.55957,1
2018-12,13,10838.59961,9871.959961,1
2018-12,14,10815.75,9818.950195,1
2018-12,17,10900.34961,9826.879883,1
2018-12,18,10915.40039,9756.669922,1
2018-12,19,10985.15039,9783.209961,1
2018-12,20,10962.54981,9741.549805,1
2018-12,21,10963.65039,9683.950195,1
2018-12,24,10782.29981,9658.950195,1
2018-12,26,10747.5,9591.910156,1
2018-12,27,10834.2002,9670.969727,1
2018-12,28,10893.59961,9727.410156,1
2019-01,2,10895.34961,9737.679688,1
2019-01,3,10814.04981,9554.530273,1
2019-01,4,10741.04981,9427.240234,1
2019-01,7,10835.9502,9596.349609,1
2019-01,8,10818.4502,9600.94043,1
2019-01,9,10870.40039,9741.639648,1
2019-01,10,10859.34961,9731.110352,1
2019-01,11,10850.15039,9796.980469,1
2019-01,14,10808,9762.370117,1
