date,open,high,low,close,adjusted close,volume
15/2/1967,510.609985,510.609985,510.609985,510.609985,510.609985,0
16/2/1967,508.380005,508.380005,508.380005,508.380005,508.380005,0
17/2/1967,508.48999,508.48999,508.48999,508.48999,508.48999,0
20/2/1967,505.850006,505.850006,505.850006,505.850006,505.850006,0
21/2/1967,505.850006,505.850006,505.850006,505.850006,505.850006,0
23/2/1967,null,null,null,null,null,null
24/2/1967,506.480011,506.480011,506.480011,506.480011,506.480011,0
27/2/1967,501.089996,501.089996,501.089996,501.089996,501.089996,0
28/2/1967,502.890015,502.890015,502.890015,502.890015,502.890015,0
1/3/1967,507.859985,507.859985,507.859985,507.859985,507.859985,0
2/3/1967,510.709991,510.709991,510.709991,510.709991,510.709991,0
3/3/1967,511.450012,511.450012,511.450012,511.450012,511.450012,0
6/3/1967,510.709991,510.709991,510.709991,510.709991,510.709991,0
7/3/1967,511.350006,511.350006,511.350006,511.350006,511.350006,0
8/3/1967,512.090027,512.090027,512.090027,512.090027,512.090027,0
9/3/1967,513.570007,513.570007,513.570007,513.570007,513.570007,0
10/3/1967,515.469971,515.469971,515.469971,515.469971,515.469971,0
13/3/1967,513.039978,513.039978,513.039978,513.039978,513.039978,0
14/3/1967,512.51001,512.51001,512.51001,512.51001,512.51001,0
15/3/1967,517.059998,517.059998,517.059998,517.059998,517.059998,0
16/3/1967,521.809998,521.809998,521.809998,521.809998,521.809998,0
17/3/1967,522.77002,522.77002,522.77002,522.77002,522.77002,0
20/3/1967,522.659973,522.659973,522.659973,522.659973,522.659973,0
21/3/1967,521.280029,521.280029,521.280029,521.280029,521.280029,0
22/3/1967,522.77002,522.77002,522.77002,522.77002,522.77002,0
23/3/1967,526.469971,526.469971,526.469971,526.469971,526.469971,0
27/3/1967,526.25,526.25,526.25,526.25,526.25,0
28/3/1967,526.679993,526.679993,526.679993,526.679993,526.679993,0
29/3/1967,526.039978,526.039978,526.039978,526.039978,526.039978,0
30/3/1967,526.25,526.25,526.25,526.25,526.25,0
31/3/1967,523.609985,523.609985,523.609985,523.609985,523.609985,0
3/4/1967,517.900024,517.900024,517.900024,517.900024,517.900024,0
4/4/1967,518.01001,518.01001,518.01001,518.01001,518.01001,0
5/4/1967,521.179993,521.179993,521.179993,521.179993,521.179993,0
6/4/1967,522.340027,522.340027,522.340027,522.340027,522.340027,0
7/4/1967,519.169983,519.169983,519.169983,519.169983,519.169983,0
10/4/1967,512.830017,512.830017,512.830017,512.830017,512.830017,0
11/4/1967,516.419983,516.419983,516.419983,516.419983,516.419983,0
12/4/1967,515.890015,515.890015,515.890015,515.890015,515.890015,0
13/4/1967,519.280029,519.280029,519.280029,519.280029,519.280029,0
14/4/1967,524.669983,524.669983,524.669983,524.669983,524.669983,0
